Underlying Equity's Prices,,,,
Date,Equity 1,Equity 2 ,Equity 3,Equity 4
12-Nov-20,191.097,264.6251,751.3614,751.3634
13-Nov-20,191.6239,264.6492,752.8597,752.8672
16-Nov-20,190.5094,265.3218,756.4206,756.4297
17-Nov-20,190.3663,265.1589,758.9547,758.9595
18-Nov-20,190.2925,264.8898,761.5497,761.5574
19-Nov-20,190.15,265.037,762.1713,762.1759
20-Nov-20,190.1768,265.1377,768.168,768.1745
23-Nov-20,191.0085,265.2909,764.4063,764.4111
24-Nov-20,191.6021,264.9882,768.5722,768.5798
25-Nov-20,191.2097,264.9799,766.8682,766.8722
27-Nov-20,192.1216,265.3531,777.1146,777.1097
30-Nov-20,191.5908,265.2439,770.8296,770.8347
01-Dec-20,190.9606,265.5291,773.0665,773.0646
02-Dec-20,190.533,265.5287,769.0864,769.0846
03-Dec-20,190.9554,265.7596,770.3134,770.3173
04-Dec-20,190.8451,265.9755,774.4971,774.4903
07-Dec-20,190.6389,267.0197,772.3598,772.3613
08-Dec-20,190.1116,267.2694,768.068,768.0706
09-Dec-20,190.9207,266.9858,778.6832,778.683
10-Dec-20,190.3807,266.953,787.0671,787.0731
11-Dec-20,190.6773,266.8024,780.5574,780.5556
14-Dec-20,190.2667,266.8385,787.2453,787.2421
15-Dec-20,190.1374,266.76,788.171,788.167
16-Dec-20,190.0639,266.8715,789.3727,789.3709
17-Dec-20,190.0446,266.6533,796.4943,796.498
18-Dec-20,190.6012,266.3697,798.286,798.2822
21-Dec-20,190.6985,266.6976,787.5604,787.5684
22-Dec-20,190.9943,266.3785,779.08,779.0759
23-Dec-20,191.7515,266.1286,786.0662,786.0649
24-Dec-20,191.8091,266.3168,791.0396,791.0402
28-Dec-20,192.3874,266.5911,791.4889,791.4893
29-Dec-20,193.2467,266.2834,795.5915,795.5912
30-Dec-20,193.1519,265.9893,801.3201,801.3153
31-Dec-20,192.9753,265.3825,801.4012,801.3999
04-Jan-21,191.0054,266.1979,809.5129,809.5112
05-Jan-21,191.8708,265.6894,826.6375,826.6361
06-Jan-21,193.2546,265.6301,831.344,831.3428
07-Jan-21,193.0537,266.0242,831.0657,831.0636
08-Jan-21,196.2608,266.0733,829.973,829.9736
11-Jan-21,195.5883,266.2736,820.1107,820.108
12-Jan-21,196.6378,266.0059,841.0019,840.998
13-Jan-21,196.3717,266.4771,845.04,845.0367
14-Jan-21,197.1236,266.4376,863.0582,863.05
15-Jan-21,197.2929,266.5044,854.0777,854.0825
19-Jan-21,197.2998,266.5453,850.2411,850.2437
20-Jan-21,196.1271,266.3197,849.4161,849.4092
21-Jan-21,196.0983,266.6528,851.6009,851.6047
22-Jan-21,194.5921,266.6777,828.3396,828.3389
25-Jan-21,194.9204,266.1992,839.0793,839.0825
26-Jan-21,195.6176,265.8006,851.1731,851.1756
27-Jan-21,195.6081,265.3978,847.4846,847.4785
28-Jan-21,195.1826,265.191,840.528,840.5284
29-Jan-21,195.4031,265.2286,845.922,845.9236
01-Feb-21,194.3359,264.45,852.4037,852.4082
02-Feb-21,195.916,264.3937,847.5137,847.5148
03-Feb-21,196.3251,264.4097,855.4018,855.3989
04-Feb-21,196.8831,264.0423,854.3101,854.3132
05-Feb-21,196.4646,264.5674,860.8916,860.8962
08-Feb-21,196.9047,264.4872,873.0375,873.0349
09-Feb-21,197.194,264.6193,875.8182,875.8154
10-Feb-21,196.4509,264.6512,869.9669,869.9623
11-Feb-21,196.8436,264.617,870.5499,870.5487
12-Feb-21,196.8176,264.4003,876.897,876.8993
16-Feb-21,197.5253,263.8868,892.6755,892.6745
17-Feb-21,197.8287,264.0648,894.8193,894.8128
18-Feb-21,197.7638,263.9482,901.3736,901.3723
19-Feb-21,197.8818,264.1829,910.2408,910.2399
22-Feb-21,198.5358,264.282,932.5207,932.5273
23-Feb-21,199.3552,264.3796,935.0834,935.0853
24-Feb-21,200.8299,264.2096,962.4354,962.4363
25-Feb-21,200.9761,264.4237,953.2087,953.2042
26-Feb-21,201.2585,264.5584,908.5506,908.5513
01-Mar-21,200.7136,264.9939,892.6586,892.6636
02-Mar-21,200.2575,264.9,904.5022,904.5013
03-Mar-21,201.9702,264.9958,894.7643,894.762
04-Mar-21,204.8827,265.1263,893.6311,893.6294
05-Mar-21,207.0301,265.1363,916.2634,916.2697
08-Mar-21,207.2324,265.5176,909.422,909.4161
09-Mar-21,206.3567,265.5663,903.4765,903.4741
10-Mar-21,205.9075,265.5875,905.4966,905.4993
11-Mar-21,206.869,265.4506,930.7421,930.7366
12-Mar-21,207.2175,265.6437,928.4796,928.4784
15-Mar-21,206.915,265.6933,922.9963,922.9946
16-Mar-21,206.872,265.5146,920.1529,920.1533
17-Mar-21,206.5075,265.61,916.5112,916.5086
18-Mar-21,203.4356,265.5589,879.6193,879.6221
19-Mar-21,203.7262,265.3135,888.0433,888.0467
22-Mar-21,203.5997,265.3189,893.8594,893.8561
23-Mar-21,203.0116,265.3543,866.1203,866.1208
24-Mar-21,204.8997,265.4535,888.2223,888.2196
25-Mar-21,203.1907,265.6124,869.242,869.2376
26-Mar-21,203.3649,265.5348,878.7853,878.7838
29-Mar-21,204.1872,265.5917,878.4119,878.4092
30-Mar-21,204.2491,265.6874,867.4408,867.4436
31-Mar-21,205.1527,266.1012,874.6548,874.6552
01-Apr-21,206.7588,266.3891,874.3302,874.3288
05-Apr-21,205.9034,266.6932,873.5789,873.5808
06-Apr-21,205.4765,266.7999,879.5891,879.597
07-Apr-21,205.3359,266.7105,879.9534,879.9532
08-Apr-21,204.572,266.7274,884.198,884.1971
09-Apr-21,204.5911,266.8194,882.7713,882.7646
12-Apr-21,204.8281,267.1201,879.6841,879.6866
13-Apr-21,204.8033,266.8349,883.1257,883.1265
14-Apr-21,206.4703,266.5292,888.2164,888.2219
15-Apr-21,205.7278,266.1911,887.5931,887.601
16-Apr-21,205.2545,266.3794,884.8809,884.8873
19-Apr-21,206.2378,266.2891,887.8162,887.8174
20-Apr-21,206.2061,266.3105,889.7378,889.734
21-Apr-21,205.4761,266.4424,893.2262,893.2247
22-Apr-21,206.3137,266.0425,898.0961,898.0927
23-Apr-21,206.8347,266.0723,900.5697,900.5723
26-Apr-21,206.8059,265.6086,909.0325,909.0272
27-Apr-21,206.4533,265.1583,908.8919,908.8954
28-Apr-21,206.5087,264.8349,914.3525,914.3565
29-Apr-21,207.1146,265.0759,912.8413,912.8421
30-Apr-21,207.3492,264.8613,919.3254,919.3199
03-May-21,207.5183,265.1656,920.7134,920.7133
04-May-21,209.3018,265.5723,930.7725,930.7749
05-May-21,209.6201,265.9831,942.149,942.1463
06-May-21,209.3509,266.3721,956.805,956.802
07-May-21,210.0813,266.4567,969.8678,969.8635
10-May-21,209.7359,266.3718,954.5283,954.527
11-May-21,209.7764,266.2166,969.4371,969.4362
12-May-21,210.8905,265.9887,964.7189,964.7179
13-May-21,208.654,266.2689,924.9231,924.9232
14-May-21,208.4616,266.3574,931.3439,931.3391
17-May-21,207.2624,265.7651,943.9122,943.9116
18-May-21,207.123,265.9446,952.4125,952.4133
19-May-21,205.8199,265.9774,914.1269,914.1312
20-May-21,205.6669,266.2927,910.945,910.9388
21-May-21,206.6367,266.249,906.9121,906.9113
24-May-21,#N/A,266.4219,911.8124,911.8168
25-May-21,206.5138,266.32,908.6967,908.6921
26-May-21,206.4432,266.5146,910.5838,910.5831
27-May-21,207.8604,266.5724,933.7697,933.7717
28-May-21,206.8185,266.7212,936.969,936.9704
01-Jun-21,208.151,267.0039,946.9714,946.9653
02-Jun-21,208.9751,267.1848,955.2011,955.2014
03-Jun-21,209.8093,267.5354,942.0932,942.1016
04-Jun-21,210.4943,267.3517,953.9659,953.9633
07-Jun-21,211.1646,267.8825,950.1376,950.1391
08-Jun-21,211.8492,267.8367,954.0677,954.0733
09-Jun-21,211.559,267.6735,953.9739,953.9781
10-Jun-21,211.7356,267.8025,955.4985,955.504
11-Jun-21,210.5519,267.5906,953.3514,953.35
14-Jun-21,209.4736,267.5209,947.9453,947.9385
15-Jun-21,210.3397,267.4412,945.676,945.6707
16-Jun-21,209.2494,267.3504,944.0242,944.0203
17-Jun-21,208.306,267.1595,913.5889,913.5833
18-Jun-21,210.4271,267.5214,916.0775,916.078
21-Jun-21,210.8667,267.3406,926.5289,926.5287
22-Jun-21,210.5937,267.3345,927.0382,927.0432
23-Jun-21,210.4825,267.2522,934.5458,934.5402
24-Jun-21,210.4193,267.2828,936.1919,936.1886
25-Jun-21,208.8437,267.1853,936.672,936.6683
28-Jun-21,208.9144,267.4115,930.9094,930.9087
29-Jun-21,209.391,267.2623,932.8159,932.812
30-Jun-21,210.5029,267.1573,932.8694,932.8769
01-Jul-21,211.0833,267.0643,940.2337,940.2357
02-Jul-21,211.218,267.2281,945.9688,945.9681
06-Jul-21,209.5763,267.0721,931.3426,931.3415
07-Jul-21,208.1828,267.3059,923.8138,923.8151
08-Jul-21,208.1435,267.2603,928.9694,928.9614
09-Jul-21,209.227,267.3073,943.2891,943.2971
12-Jul-21,208.8909,267.3534,938.7541,938.7546
13-Jul-21,210.8586,267.4632,950.3932,950.4005
14-Jul-21,209.3139,267.6048,940.1984,940.1998
15-Jul-21,208.2946,267.6987,934.1431,934.1435
16-Jul-21,208.0606,267.8382,937.061,937.0524
19-Jul-21,203.8261,267.9458,890.4041,890.4002
20-Jul-21,204.0664,267.6734,901.1578,901.154
21-Jul-21,205.2799,267.668,923.2092,923.2128
22-Jul-21,205.5141,267.4488,932.6391,932.642
23-Jul-21,205.822,267.4339,938.6268,938.6215
26-Jul-21,204.7092,267.4989,939.6286,939.6312
27-Jul-21,205.499,267.5917,934.6909,934.6837
28-Jul-21,205.8297,267.6395,938.1589,938.1567
29-Jul-21,205.7874,265.9648,940.8004,940.7944
30-Jul-21,207.3495,267.5905,936.0432,936.0376
02-Aug-21,205.4525,267.8147,932.3102,932.3134
